id,Runs_Scored,Extra_runs,id,Bowler,Striker,strike_position,playerout,wickets,matchdatesk,bowlingteamsk,battingteamsk,matchdate,total_runs,high_runs,bat_skill,bat_Experience,cumulative_overs,bowl_skill,bowl_experience,innings,striker_dob,bowler_dob,matchyear,striker_age,bowler_age,is2017,2013,over,spin,BowlerType,batting_hand
"548368,1,16",7,0,"548368,1,16",315,57,3.0,0,0,20120512,0,6,5/12/2012,7,False,114.0,562.0,0,90.0,323.0,1,1975,1971,2012,37,41,0,0,16,1,off_spin,Right-hand bat
"1082596,1,02",10,0,"1082596,1,02",299,481,4.0,0,0,20170409,10,12,4/9/2017,10,False,0.0,7.0,0,98.0,333.0,1,1995,1984,2017,22,33,1,0,2,0,pace,Right-hand bat
"598073,1,03",15,1,"598073,1,03",201,8,1.0,0,0,20130518,2,1,5/18/2013,16,True,144.0,646.0,1,100.0,383.0,1,1975,1984,2013,38,29,0,1,3,1,off_spin,Right-hand bat
"1082639,2,06",12,0,"1082639,2,06",484,40,4.0,0,0,20170509,3,0,5/9/2017,12,True,106.0,597.0,1,1.0,5.0,2,1978,1985,2017,39,32,1,0,6,0,pace,Left-hand bat
"419146,1,17",6,0,"419146,1,17",61,32,3.0,2,1,20100405,7,4,4/5/2010,6,False,69.0,293.0,0,84.0,299.0,1,1980,1984,2010,30,26,0,0,17,0,pace,Right-hand bat
"729304,1,02",11,0,"729304,1,02",109,96,3.0,1,1,20140424,1,0,4/24/2014,11,False,69.0,343.0,0,83.0,288.0,1,1974,1984,2014,40,30,0,0,2,0,pace,Right-hand bat
"501226,1,19",17,0,"501226,1,19",21,56,5.0,0,0,20110422,2,6,4/22/2011,17,True,23.0,120.0,1,27.0,152.0,1,1987,1978,2011,24,33,0,0,19,1,off_spin,Right-hand bat
"336033,1,07",9,1,"336033,1,07",148,139,3.0,0,0,20080521,6,3,5/21/2008,10,False,7.0,37.0,0,2.0,6.0,1,1989,1979,2008,19,29,0,0,7,1,off_spin,Left-hand bat
"829712,2,15",4,1,"829712,2,15",71,109,3.0,1,1,20150409,2,5,4/9/2015,5,False,26.0,96.0,0,118.0,341.0,2,1984,1980,2015,31,35,0,0,15,0,pace,Left-hand bat
"419115,2,20",12,1,"419115,2,20",61,218,11.0,1,0,20100314,7,2,3/14/2010,13,True,1.0,1.0,1,84.0,299.0,2,1976,1984,2010,34,26,0,0,20,0,pace,Right-hand bat
"1082625,2,18",9,0,"1082625,2,18",310,400,4.0,1,0,20170429,12,6,4/29/2017,9,False,12.0,47.0,0,62.0,209.0,2,1985,1990,2017,32,27,1,0,18,0,pace,Right-hand bat
"501215,2,17",13,0,"501215,2,17",221,2,1.0,0,0,20110415,6,8,4/15/2011,13,True,81.0,380.0,1,58.0,200.0,2,1974,1986,2011,37,25,0,0,17,0,pace,Right-hand bat
"829814,1,01",5,0,"829814,1,01",322,62,1.0,0,0,20150516,2,3,5/16/2015,5,False,48.0,183.0,0,30.0,105.0,1,1981,1979,2015,34,36,0,0,1,1,off_spin,Right-hand bat
"336010,2,14",4,0,"336010,2,14",121,32,4.0,0,0,20080504,2,4,5/4/2008,4,False,69.0,293.0,0,63.0,256.0,2,1980,1977,2008,28,31,0,0,14,1,off_spin,Right-hand bat
"392199,1,16",9,0,"392199,1,16",223,8,5.0,0,0,20090426,5,1,4/26/2009,9,False,144.0,646.0,0,34.0,109.0,1,1975,1980,2009,34,29,0,0,16,0,pace,Right-hand bat
"598050,1,12",11,0,"598050,1,12",67,162,2.0,0,0,20130514,3,1,5/14/2013,11,False,100.0,414.0,0,123.0,430.0,1,1987,1981,2013,26,32,0,1,12,1,leg_spin,Left-hand bat
"1082642,2,19",8,0,"1082642,2,19",347,258,4.0,1,1,20170512,5,11,5/12/2017,8,False,11.0,50.0,0,26.0,105.0,2,1985,1983,2017,32,34,1,0,19,0,pace,Right-hand bat
